group,replicate,fastq_1,fastq_2,control
H3K27me3_E2F5_WT,3,PR001651_ANDE_CutRun/15_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/15_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,3,PR001651_ANDE_CutRun_2/15_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/15_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,4,PR001651_ANDE_CutRun/16_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/16_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,4,PR001651_ANDE_CutRun_2/16_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/16_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,3,PR001651_ANDE_CutRun/17_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/17_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,3,PR001651_ANDE_CutRun_2/17_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/17_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,4,PR001651_ANDE_CutRun/18_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/18_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,4,PR001651_ANDE_CutRun_2/18_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/18_L000_R2_001.fastq.gz,IgG_E2F5_WT
IgG_E2F5_CKO,1,PR001651_ANDE_CutRun/21_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/21_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,1,PR001651_ANDE_CutRun_2/21_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/21_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,2,PR001651_ANDE_CutRun/22_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/22_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,2,PR001651_ANDE_CutRun_2/22_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/22_L000_R2_001.fastq.gz,
H3K4me3_E2F5_CKO,1,PR001651_ANDE_CutRun/23_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/23_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,1,PR001651_ANDE_CutRun_2/23_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/23_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,2,PR001651_ANDE_CutRun/24_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/24_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,2,PR001651_ANDE_CutRun_2/24_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/24_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,1,PR001651_ANDE_CutRun/25_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/25_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,1,PR001651_ANDE_CutRun_2/25_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/25_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,2,PR001651_ANDE_CutRun/26_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/26_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,2,PR001651_ANDE_CutRun_2/26_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/26_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,1,PR001651_ANDE_CutRun/27_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/27_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,1,PR001651_ANDE_CutRun_2/27_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/27_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,2,PR001651_ANDE_CutRun/28_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/28_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,2,PR001651_ANDE_CutRun_2/28_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/28_L000_R2_001.fastq.gz,IgG_E2F5_CKO
IgG_E2F5_CKO,3,PR001651_ANDE_CutRun/31_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/31_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,3,PR001651_ANDE_CutRun_2/31_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/31_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,4,PR001651_ANDE_CutRun/32_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/32_L000_R2_001.fastq.gz,
IgG_E2F5_CKO,4,PR001651_ANDE_CutRun_2/32_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/32_L000_R2_001.fastq.gz,
H3K4me3_E2F5_CKO,3,PR001651_ANDE_CutRun/33_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/33_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,3,PR001651_ANDE_CutRun_2/33_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/33_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,4,PR001651_ANDE_CutRun/34_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/34_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K4me3_E2F5_CKO,4,PR001651_ANDE_CutRun_2/34_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/34_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,3,PR001651_ANDE_CutRun/35_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/35_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,3,PR001651_ANDE_CutRun_2/35_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/35_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,4,PR001651_ANDE_CutRun/36_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/36_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27me3_E2F5_CKO,4,PR001651_ANDE_CutRun_2/36_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/36_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,3,PR001651_ANDE_CutRun/37_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/37_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,3,PR001651_ANDE_CutRun_2/37_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/37_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,4,PR001651_ANDE_CutRun/38_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/38_L000_R2_001.fastq.gz,IgG_E2F5_CKO
H3K27ac_E2F5_CKO,4,PR001651_ANDE_CutRun_2/38_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/38_L000_R2_001.fastq.gz,IgG_E2F5_CKO
