group,replicate,fastq_1,fastq_2,control
IgG_E2F5_WT,1,PR001651_ANDE_CutRun/1_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/1_L000_R2_001.fastq.gz,
IgG_E2F5_WT,1,PR001651_ANDE_CutRun_2/1_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/1_L000_R2_001.fastq.gz,
IgG_E2F5_WT,2,PR001651_ANDE_CutRun/2_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/2_L000_R2_001.fastq.gz,
IgG_E2F5_WT,2,PR001651_ANDE_CutRun_2/2_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/2_L000_R2_001.fastq.gz,
H3K4me3_E2F5_WT,1,PR001651_ANDE_CutRun/3_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/3_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,1,PR001651_ANDE_CutRun_2/3_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/3_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,2,PR001651_ANDE_CutRun/4_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/4_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,2,PR001651_ANDE_CutRun_2/4_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/4_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,1,PR001651_ANDE_CutRun/5_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/5_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,1,PR001651_ANDE_CutRun_2/5_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/5_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,2,PR001651_ANDE_CutRun/6_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/6_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27me3_E2F5_WT,2,PR001651_ANDE_CutRun_2/6_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/6_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,1,PR001651_ANDE_CutRun/7_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/7_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,1,PR001651_ANDE_CutRun_2/7_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/7_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,2,PR001651_ANDE_CutRun/8_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/8_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K27ac_E2F5_WT,2,PR001651_ANDE_CutRun_2/8_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/8_L000_R2_001.fastq.gz,IgG_E2F5_WT
IgG_E2F5_WT,3,PR001651_ANDE_CutRun/11_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/11_L000_R2_001.fastq.gz,
IgG_E2F5_WT,3,PR001651_ANDE_CutRun_2/11_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/11_L000_R2_001.fastq.gz,
IgG_E2F5_WT,4,PR001651_ANDE_CutRun/12_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/12_L000_R2_001.fastq.gz,
IgG_E2F5_WT,4,PR001651_ANDE_CutRun_2/12_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/12_L000_R2_001.fastq.gz,
H3K4me3_E2F5_WT,3,PR001651_ANDE_CutRun/13_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/13_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,3,PR001651_ANDE_CutRun_2/13_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/13_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,4,PR001651_ANDE_CutRun/14_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun/14_L000_R2_001.fastq.gz,IgG_E2F5_WT
H3K4me3_E2F5_WT,4,PR001651_ANDE_CutRun_2/14_L000_R1_001.fastq.gz,PR001651_ANDE_CutRun_2/14_L000_R2_001.fastq.gz,IgG_E2F5_WT
